"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,1792,0.00504767246214246,0.0216647662485747,0.0430733410942957,57050
2017-10-31,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,1244,0.00484652665589661,0.0146818923327896,0.0349417637271215,61870
2017-10-31,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,1093,0.00830258302583026,0.0330812854442344,0.0509615384615385,49156
2017-10-31,"Upper West Side","NY","New York","New York","New York",3,3896,-0.000769428058476532,0.0177638453500522,0.00567888487351575,71051
2017-10-31,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,3636,0.00220507166482911,0.00636590091336839,0.0311968235961429,19605
2017-10-31,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",5,2420,0.00248550124275062,0.0125523012552301,0.110091743119266,34570
2017-10-31,"Upper East Side","NY","New York","New York","New York",6,3538,0.000282725473565168,0.00368794326241135,-0.00673778775968557,82606
2017-10-31,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",7,1143,0.00616197183098592,0.0223613595706619,0.0573543015726179,43549
2017-10-31,"East New York","NY","New York","Kings","New York",8,2212,0.00545454545454545,0.00591177808094588,0.00135808057944771,20236
2017-10-31,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",9,1271,0.00793021411578113,0.0200642054574639,0.0367047308319739,64681
2017-10-31,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",10,2326,-0.00214500214500214,-0.00257289879931389,0.124758220502901,25505
2017-10-31,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",11,1588,0.00379266750948167,0.0101781170483461,0.0392670157068063,60501
2017-10-31,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",12,1339,0.000747384155455904,0.00752445447705041,0.0412130637636081,53047
2017-10-31,"Washington Heights","NY","New York","New York","New York",13,2669,-0.00484712900820283,0.00527306967984934,0.0113679424024252,14868
2017-10-31,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",14,2730,0.00330760749724366,0.0111111111111111,0.0463779225756995,13888
2017-10-31,"Astoria","NY","New York","Queens","New York",15,2292,-0.00563991323210412,-0.00391134289439374,-0.0103626943005181,26547
2017-10-31,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",16,1240,0.00242522231204527,0.0139002452984464,0.0446503791069924,49662
2017-10-31,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",17,2261,0.00266075388026608,0.00802496656263932,0.0249320036264733,31372
2017-10-31,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",18,2887,-0.00413935839944809,0,0.0165492957746479,11828
2017-10-31,"Williamsburg","NY","New York","Kings","New York",19,2937,-0.00373134328358209,-0.00508130081300813,0.0155601659751037,23863
2017-10-31,"Bedford Stuyvesant","NY","New York","Kings","New York",20,2495,0.00362027353177796,0.0117599351175994,0.0158794788273616,26320
2017-10-31,"East Side","TX","El Paso","El Paso","El Paso",21,1021,0.00196270853778214,0.0118929633300297,0.000980392156862745,39741
2017-10-31,"Camelback East","AZ","Phoenix","Maricopa","Phoenix",22,1436,0.00139470013947001,0.00489853044086774,0.0413343002175489,48124
2017-10-31,"Alhambra","AZ","Phoenix","Maricopa","Phoenix",23,1173,0.0051413881748072,0.02,0.0539083557951483,34383
2017-10-31,"Flatbush","NY","New York","Kings","New York",24,2224,0.0145985401459854,0.0296296296296296,0.0211202938475666,15017
2017-10-31,"Crown Heights","NY","New York","Kings","New York",25,2407,0.00543024227234754,0.0156118143459916,-0.0008302200083022,16425
2017-10-31,"Southeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",26,1182,0.00681431005110733,0.0224913494809689,0.0853994490358127,30648
2017-10-31,"Jamaica","NY","New York","Queens","New York",27,2166,-0.00322135296824666,-0.00184331797235023,-0.000461467466543609,22464
2017-10-31,"Harlem","NY","New York","New York","New York",28,3017,-0.00198478332782005,0.00299202127659575,0.00667334000667334,16455
2017-10-31,"Roosevelt","CA","Fresno","Fresno","Fresno",29,1158,0.00871080139372822,0.0302491103202847,0.0672811059907834,26628
2017-10-31,"Williamsbridge","NY","New York","Bronx","New York",30,1818,0.00386526780784097,0.0167785234899329,0.0364880273660205,12017
2017-10-31,"East Harlem","NY","New York","New York","New York",31,3007,-0.00166002656042497,0.0016655562958028,0.0134816312773846,9940
2017-10-31,"Bushwick","NY","New York","Kings","New York",32,2469,0.00202922077922078,0.00447518307567128,-0.000809388911371914,15281
2017-10-31,"North Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",33,2561,-0.00117004680187207,-0.00388953714507974,-0.0019485580670304,60570
2017-10-31,"East Flatbush","NY","New York","Kings","New York",34,2211,0.0146856356126664,0.0207756232686981,0.0193637621023513,15823
2017-10-31,"Enterprise","NV","Las Vegas","Clark","Las Vegas",35,1344,0.00298507462686567,0.00900900900900901,0.0410534469403563,52952
2017-10-31,"East San Jose","CA","San Jose","Santa Clara","San Jose",36,3200,0.00344935716525557,0.011378002528445,0.0342598577892696,20520
2017-10-31,"South Mountain","AZ","Phoenix","Maricopa","Phoenix",37,1186,0.00338409475465313,0.0162810625535561,0.0394390885188431,32182
